,PremisesName,Address,City,PostalCode,Latitude,Longitude,MachineCount,MeshBlockCode,CityCode,StateCode,State,LgaCode,LgaName,PostalCodePopulation,PostalCodeAvgTaxableIncome,PostalCodeRankTaxableIncome
102,Crown Inn,"Old S Rd, Old Reynella SA 5161, Australia",Old Reynella,5161,-35.09042580000001,138.5409406,40,40125261000,41062,4,South Australia,45340,Onkaparinga (C),5571,46081.0,219
103,Crown Inn Hotel,"31 Agnes St, Kingston SE SA 5275, Australia",Kingston SE,5275,-36.829471,139.85697,15,40063051000,40695,4,South Australia,43360,Kingston (DC),1385,52291.0,112
104,Crystal Brook Hotel,"47 Railway Terrace, Crystal Brook SA 5523, Australia",Crystal Brook,5523,-33.3529263,138.2060271,7,40159091000,40328,4,South Australia,46450,Port Pirie City and Dists (M),981,57247.0,68
105,Cudlee Creek Restaurant and Tavern,"Opposite cnr Gorge Rd &, Redden Dr, Cudlee Creek SA 5232, Australia",Cudlee Creek,5232,-34.839817,138.8167679,10,40006760000,40329,4,South Australia,40120,Adelaide Hills (DC),266,55465.0,84
106,Cue Sports SA Inc,"1/546 Marion Rd, Plympton Park SA 5038, Australia",Plympton Park,5038,-34.9777796,138.5554284,26,40076522000,41154,4,South Australia,44060,Marion (C),9478,48463.0,177
107,Cumberland Arms Hotel,"205 Waymouth St, Adelaide SA 5000, Australia",Adelaide,5000,-34.9263889,138.5919444,15,40000010000,40002,4,South Australia,40070,Adelaide (C),7785,63332.0,33
108,Cumberland Hotel,"76 Causeway Rd, Glanville SA 5015, Australia",Glanville,5015,-34.8428459,138.4929352,6,40145422000,40494,4,South Australia,45890,Port Adelaide Enfield (C),3526,52167.0,115
109,Cummins Hotel,"36/38 Railway Terrace, Cummins SA 5631, Australia",Cummins,5631,-34.264239,135.728114,8,40066220000,40333,4,South Australia,43710,Lower Eyre Peninsula (DC),788,55839.0,80
110,Dalrymple Hotel,"4 Anzac Parade, Stansbury SA 5582, Australia",Stansbury,5582,-34.9090051,137.7974651,10,40214972800,41365,4,South Australia,48830,Yorke Peninsula (DC),323,42882.0,280
111,Desert Cave Hotel Motel,"1 Hutchison St, Coober Pedy SA 5723, Australia",Coober Pedy,5723,-29.011006,134.75468,16,40045740000,40293,4,South Australia,41330,Coober Pedy (DC),831,44697.0,247
112,District Hotel,"77 Main Rd, Nairne SA 5252, Australia",Nairne,5252,-35.0359515,138.9123696,12,40092440000,40996,4,South Australia,44550,Mount Barker (DC),3825,48879.0,167
113,Docklands Hotel,"36 N Parade, Port Adelaide SA 5015, Australia",Port Adelaide,5015,-34.8434361,138.5023482,10,40150771000,41173,4,South Australia,45890,Port Adelaide Enfield (C),3526,52167.0,115
114,Dockside Tavern,"4 Santo Parade, Port Adelaide SA 5015, Australia",Port Adelaide,5015,-34.8422335,138.5123787,20,40150771000,41173,4,South Australia,45890,Port Adelaide Enfield (C),3526,52167.0,115
115,Dog and Duck,"125 Hindley St, Adelaide SA 5000, Australia",Adelaide,5000,-34.923456,138.59489,20,40000010000,40002,4,South Australia,40070,Adelaide (C),7785,63332.0,33
116,Duke Of York Hotel,"82 Currie St, Adelaide SA 5000, Australia",Adelaide,5000,-34.924397,138.596445,10,40000010000,40002,4,South Australia,40070,Adelaide (C),7785,63332.0,33
117,Duke of Brunswick Hotel,"207 Gilbert St, Adelaide SA 5000, Australia",Adelaide,5000,-34.9348808,138.5924361,6,40000010000,40002,4,South Australia,40070,Adelaide (C),7785,63332.0,33
118,Earl Of Aberdeen Hotel,"316 Pulteney St, Adelaide SA 5000, Australia",Adelaide,5000,-34.9310784,138.6063672,10,40000010000,40002,4,South Australia,40070,Adelaide (C),7785,63332.0,33
119,Earl Of Leicester Hotel,"85 Leicester St, Parkside SA 5063, Australia",Parkside,5063,-34.946395,138.614531,40,40194830000,41102,4,South Australia,47980,Unley (C),7603,68387.0,21
120,Eden Valley Hotel,"11 Murray St, Eden Valley SA 5235, Australia",Eden Valley,5235,-34.6420482,139.098233,6,40014400000,40386,4,South Australia,40310,Barossa (DC),1373,45163.0,238
121,Edinburgh Hotel,"7 High St, Mitcham SA 5062, Australia",Mitcham,5062,-34.9781278,138.6226572,36,40085480000,40884,4,South Australia,44340,Mitcham (C),9776,74550.0,14
122,Edithburgh Hotel,"16 Edith St, Edithburgh SA 5583, Australia",Edithburgh,5583,-35.0845413,137.7459761,9,40214976900,40390,4,South Australia,48830,Yorke Peninsula (DC),372,37756.0,319
123,Electra House Hotel,"131 King William St, Adelaide SA 5000, Australia",Adelaide,5000,-34.926253,138.5993686,28,40000010000,40002,4,South Australia,40070,Adelaide (C),7785,63332.0,33
124,Elephant and Castle Hotel,"179 West Terrace, Adelaide SA 5000, Australia",Adelaide,5000,-34.9347222,138.5886111,7,40000010000,40002,4,South Australia,40070,Adelaide (C),7785,63332.0,33
125,Elizabeth Tavern,"Elizabeth Way, Elizabeth SA 5112, Australia",Elizabeth,5112,-34.7203811,138.6675927,40,40132140000,40393,4,South Australia,45680,Playford (C),7679,42737.0,283
