,HierarchyLevel,CategoryName,CategoryId,Level1,Level2,Level3,Level4,Level5
156,4,Tianjin Restaurant,52af3b893cf9994f4e043c05,Food,Asian Restaurant,Chinese Restaurant,Tianjin Restaurant,
157,4,Xinjiang Restaurant,52af3b913cf9994f4e043c06,Food,Asian Restaurant,Chinese Restaurant,Xinjiang Restaurant,
158,4,Yunnan Restaurant,52af3b9a3cf9994f4e043c07,Food,Asian Restaurant,Chinese Restaurant,Yunnan Restaurant,
159,4,Zhejiang Restaurant,52af3ba23cf9994f4e043c08,Food,Asian Restaurant,Chinese Restaurant,Zhejiang Restaurant,
160,3,Filipino Restaurant,4eb1bd1c3b7b55596b4a748f,Food,Asian Restaurant,Filipino Restaurant,,
161,3,Himalayan Restaurant,52e81612bcbc57f1066b79fb,Food,Asian Restaurant,Himalayan Restaurant,,
162,3,Hotpot Restaurant,52af0bd33cf9994f4e043bdd,Food,Asian Restaurant,Hotpot Restaurant,,
163,3,Indonesian Restaurant,4deefc054765f83613cdba6f,Food,Asian Restaurant,Indonesian Restaurant,,
164,4,Acehnese Restaurant,52960eda3cf9994f4e043ac9,Food,Asian Restaurant,Indonesian Restaurant,Acehnese Restaurant,
165,4,Balinese Restaurant,52960eda3cf9994f4e043acb,Food,Asian Restaurant,Indonesian Restaurant,Balinese Restaurant,
166,4,Betawinese Restaurant,52960eda3cf9994f4e043aca,Food,Asian Restaurant,Indonesian Restaurant,Betawinese Restaurant,
167,4,Indonesian Meatball Place,52960eda3cf9994f4e043acc,Food,Asian Restaurant,Indonesian Restaurant,Indonesian Meatball Place,
168,4,Javanese Restaurant,52960eda3cf9994f4e043ac7,Food,Asian Restaurant,Indonesian Restaurant,Javanese Restaurant,
169,4,Manadonese Restaurant,52960eda3cf9994f4e043ac8,Food,Asian Restaurant,Indonesian Restaurant,Manadonese Restaurant,
170,4,Padangnese Restaurant,52960eda3cf9994f4e043ac5,Food,Asian Restaurant,Indonesian Restaurant,Padangnese Restaurant,
171,4,Sundanese Restaurant,52960eda3cf9994f4e043ac6,Food,Asian Restaurant,Indonesian Restaurant,Sundanese Restaurant,
172,3,Japanese Restaurant,4bf58dd8d48988d111941735,Food,Asian Restaurant,Japanese Restaurant,,
173,4,Donburi Restaurant,55a59bace4b013909087cb0c,Food,Asian Restaurant,Japanese Restaurant,Donburi Restaurant,
174,4,Japanese Curry Restaurant,55a59bace4b013909087cb30,Food,Asian Restaurant,Japanese Restaurant,Japanese Curry Restaurant,
175,4,Kaiseki Restaurant,55a59bace4b013909087cb21,Food,Asian Restaurant,Japanese Restaurant,Kaiseki Restaurant,
176,4,Kushikatsu Restaurant,55a59bace4b013909087cb06,Food,Asian Restaurant,Japanese Restaurant,Kushikatsu Restaurant,
177,4,Monjayaki Restaurant,55a59bace4b013909087cb1b,Food,Asian Restaurant,Japanese Restaurant,Monjayaki Restaurant,
178,4,Nabe Restaurant,55a59bace4b013909087cb1e,Food,Asian Restaurant,Japanese Restaurant,Nabe Restaurant,
179,4,Okonomiyaki Restaurant,55a59bace4b013909087cb18,Food,Asian Restaurant,Japanese Restaurant,Okonomiyaki Restaurant,
180,4,Ramen Restaurant,55a59bace4b013909087cb24,Food,Asian Restaurant,Japanese Restaurant,Ramen Restaurant,
181,4,Shabu-Shabu Restaurant,55a59bace4b013909087cb15,Food,Asian Restaurant,Japanese Restaurant,Shabu-Shabu Restaurant,
182,4,Soba Restaurant,55a59bace4b013909087cb27,Food,Asian Restaurant,Japanese Restaurant,Soba Restaurant,
183,4,Sukiyaki Restaurant,55a59bace4b013909087cb12,Food,Asian Restaurant,Japanese Restaurant,Sukiyaki Restaurant,
184,4,Sushi Restaurant,4bf58dd8d48988d1d2941735,Food,Asian Restaurant,Japanese Restaurant,Sushi Restaurant,
185,4,Takoyaki Place,55a59bace4b013909087cb2d,Food,Asian Restaurant,Japanese Restaurant,Takoyaki Place,
